case_id,case_index,material,object_id,candidate_id,candidate_family,selected_for_major,selected_for_minor,candidate_p0_x,candidate_p0_y,candidate_direction_x,candidate_direction_y,candidate_endpoint1_x,candidate_endpoint1_y,candidate_endpoint2_x,candidate_endpoint2_y,candidate_path_length_px_from_csv,mask_path_length_px_recomputed,mask_path_length_mm,strip_depth_path_length_mm,strip_depth_valid,strip_depth_failure_reason,strip_depth_num_supported_points,strip_depth_valid_depth_fraction,strip_depth_depth_median_mm,strip_depth_lower_endpoint_or_quantile_mm,strip_depth_upper_endpoint_or_quantile_mm,depth_endpoint_mode,depth_lower_quantile,depth_upper_quantile,depth_support_projected_lower,depth_support_projected_upper,depth_support_projected_span_mm,manual_major_selected,manual_minor_selected
case_005_5,5,timber,5,A2,pipeline_major,False,False,362.727976696331,349.97724368687784,0.057596528638050655,0.9983399420482214,356.56514813205956,243.15486988771812,368.8908052606024,456.79961748603756,214.00000000000006,214.00000000000006,87.33252163645612,77.9231584111443,True,,17691,0.9594552448279446,333.0,-38.90661161599416,39.623084390874446,percentile,0.0025,0.9975,-38.90661161599416,39.623084390874446,78.5296960068686,,
case_005_5,5,timber,5,A3,pipeline_major,False,False,478.4308880149779,342.8012450680384,0.0575965286380507,0.9983399420482215,472.29685771502545,236.47804123990278,484.56491831493025,449.124448896174,213.00000000000003,213.00000000000003,86.92442574095831,,False,missing_reference_depth,0,,,,,percentile,0.0025,0.9975,,,,,
case_005_5,5,timber,5,A4,pipeline_major,False,False,594.1625975979438,336.12441642022304,0.05759652863805096,0.9983399420482215,588.0285672979913,229.80121259208744,600.2966278978962,442.44762024835865,213.00000000000003,213.00000000000003,86.92442574095892,63.81360822693377,True,,8100,0.46650356566550416,335.0,-24.989136059670965,38.824472167262805,percentile,0.0025,0.9975,-24.989136059670965,38.824472167262805,63.81360822693377,,
case_005_5,5,timber,5,A5,pipeline_major,False,False,711.2190273395847,352.40940643951683,0.05759652863805117,0.9983399420482214,706.5825067842217,272.043041104635,715.8555478949479,432.77577177439866,161.00000000000003,161.00000000000003,65.70343917509105,60.732161546329856,True,,13226,0.9498906136055839,337.0,-30.880488226458606,30.18368087884909,percentile,0.0025,0.9975,-30.880488226458606,30.18368087884909,61.06416910530769,,
case_005_5,5,timber,5,A6,pipeline_minor,False,False,399.051111092228,277.72784600240846,-0.9983399420482215,0.057596528638050745,684.0771645469952,261.284037076245,114.02505763746075,294.17165492857197,570.9999999999999,570.9999999999999,233.0522548622496,210.6026548516073,True,,35695,0.7771096696810441,332.0,-107.68563379166528,102.63574041331655,percentile,0.0025,0.9975,-107.68563379166528,102.63574041331655,210.32137420498182,,
case_005_5,5,timber,5,A7,pipeline_minor,False,False,465.48126703266996,344.0491699113571,-0.9983399420482215,0.05759652863805074,811.9052269234028,324.06317447395355,119.05730714193714,364.03516534876076,693.9999999999999,693.9999999999999,283.2544043334521,,False,missing_reference_depth,0,,,,,percentile,0.0025,0.9975,,,,,
case_005_5,5,timber,5,A8,pipeline_minor,False,True,483.4919357837732,413.1639254592513,-0.9983399420482214,0.05759652863805073,841.8959749790847,392.4867716781911,125.08789658846172,433.8410792403115,718.0,718.0,293.0499456936867,264.7806586368189,True,,55792,0.8955548893061714,337.0,-135.27298930807157,129.31486367683908,percentile,0.0025,0.9975,-135.27298930807157,129.31486367683908,264.5878529849107,,264.0
case_006_1,6,brick,1,A1,pipeline_major,False,False,350.31161670285314,296.7070857170611,0.028412304996645973,0.9995962889710914,346.6890478157808,169.25855887324693,353.9341855899255,424.1556125608752,255.0,255.0,87.83932231023998,87.0159174396549,True,,21412,0.9838630588864619,313.0,-43.15381694274704,43.77341864821626,percentile,0.0025,0.9975,-43.15381694274704,43.77341864821626,86.92723559096329,,
case_006_1,6,brick,1,A2,pipeline_major,True,False,516.1251831054688,291.49383544921875,0.0284123049966459,0.9995962889710913,512.5168203708947,164.54510674989015,519.7335458400428,418.4425641485474,254.00000000000003,254.00000000000003,87.49485437961063,87.09714966023361,True,,21366,0.9852901845413212,314.0,-43.388562108312044,43.62123529800848,percentile,0.0025,0.9975,-43.388562108312044,43.62123529800848,87.00979740632053,88.0,
case_006_1,6,brick,1,A3,pipeline_major,False,False,681.9387495080844,286.2805851813764,0.028412304996645692,0.9995962889710914,678.3730052310053,160.83125091550448,685.5044937851634,411.7299194472484,250.99999999999997,250.99999999999997,86.46145058772545,87.15556450931949,True,,21436,0.9806578126392727,315.0,-42.8375591662732,44.373082109456895,percentile,0.0025,0.9975,-42.8375591662732,44.373082109456895,87.2106412757301,,
case_006_1,6,brick,1,A4,pipeline_minor,False,False,514.2940401874522,209.47290593645226,-0.9995962889710912,0.02841230499664587,771.6900845975082,202.15673739981594,256.89799577739615,216.78907447308856,515.0,515.0,177.42355510370436,176.9849285453709,True,,43515,0.9711767298369326,313.0,-90.23784641198597,87.01336829754995,percentile,0.0025,0.9975,-90.23784641198597,87.01336829754995,177.25121470953593,,
case_006_1,6,brick,1,A5,pipeline_minor,False,True,517.1247793944399,291.4654231442221,-0.9995962889710913,0.02841230499664585,775.0206219489814,284.1350484550875,259.22893683989827,298.79579783335674,516.0,516.0,177.7680668611875,178.44276109609294,True,,43901,0.975055090348171,314.0,-91.07962453911006,87.38855785790973,percentile,0.0025,0.9975,-91.07962453911006,87.38855785790973,178.46818239701977,,180.0
case_006_1,6,brick,1,A6,pipeline_minor,False,False,520.455316745913,373.44373419949363,-0.9995962889710914,0.02841230499664586,775.3523704335414,366.19859642534897,265.55826305828475,380.68887197363836,510.00000000000006,510.00000000000006,175.70099631628997,176.225674065977,True,,42948,0.961724069544523,315.0,-90.16218129067065,86.02917539150434,percentile,0.0025,0.9975,-90.16218129067065,86.02917539150434,176.191356682175,,
case_007_2,7,brick,2,A1,pipeline_major,False,False,488.5642575108002,382.7338152303097,0.9968617213144686,-0.07916254529734884,414.2980592728723,388.6314248549622,562.8304557487281,376.8362056056572,149.0,149.0,67.43483361843694,60.94617810987855,True,,11091,0.833939844040104,278.0,-24.70894840029321,35.779897598063926,percentile,0.0025,0.9975,-24.70894840029321,35.779897598063926,60.488845998357135,,
case_007_2,7,brick,2,A2,pipeline_major,True,False,480.88912714638195,286.0840215981291,0.9968617213144687,-0.0791625452973489,405.6260671871396,292.06079376807895,556.1521871056243,280.1072494281793,150.99999999999994,150.99999999999994,68.3399991703643,59.595598950042444,True,,11081,0.8310162813173742,277.0,-24.215210438623274,35.46679349280169,percentile,0.0025,0.9975,-24.215210438623274,35.46679349280169,59.682003931424966,59.2,
