case_id,case_index,material,object_id,path_label,manual_mm,manual_source_field,mask_based_mm,whole_roi_depth_mm,strip_depth_mm,mask_abs_err_mm,whole_roi_depth_abs_err_mm,strip_depth_abs_err_mm,mask_pct_err,whole_roi_depth_pct_err,strip_depth_pct_err,mask_valid,whole_roi_depth_valid,strip_depth_valid,mask_failure_reason,whole_roi_depth_failure_reason,strip_depth_failure_reason,mask_source,direction_source,anchor_source,p0_x,p0_y,direction_x,direction_y,selected_mask_area_px,valid_depth_fraction,in_range_268_375_fraction,evaluation_valid,invalid_reason
case_011_1,11,concrete block,1,major,101.9,major_axis_mm,100.69656518214974,101.46177218386238,101.28356090221261,1.2034348178502654,0.4382278161376263,0.6164390977873921,1.1809958958295048,0.43005673811347034,0.6049451401250168,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_011_1/selected_mask.png,manual_anchor_selection,manual_anchor_selection,503.9082439283285,350.9083007346209,0.05759661599930248,0.998339937008146,190552,0.9746538628472222,0.5932834201388889,True,
case_011_1,11,concrete block,1,minor,169.0,minor_axis_mm,168.65052023355327,171.99531919045455,168.83775812241703,0.3494797664467342,2.995319190454552,0.16224187758297148,0.2067927612110853,1.7723782192038768,0.09600111099584112,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_011_1/selected_mask.png,manual_anchor_selection,manual_anchor_selection,512.4229317008974,350.91789946713095,-0.998339937008146,0.057596615999302415,190552,0.9746538628472222,0.5932834201388889,True,
case_012_2,12,concrete block,2,major,77.0,major_axis_mm,76.69895871359338,77.47127091100674,78.30396258162514,0.3010412864066154,0.4712709110067408,1.303962581625143,0.39096270961898105,0.6120401441645984,1.6934578982144715,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_012_2/selected_mask.png,manual_anchor_selection,manual_anchor_selection,149.96461096648,250.33586846920696,0.0068491602161274475,0.9999765442270803,90419,,,True,
case_012_2,12,concrete block,2,minor,279.5,minor_axis_mm,278.1905095613932,279.92837170391607,279.9740251190162,1.3094904386068151,0.4283717039160706,0.4740251190161757,0.468511784832492,0.1532635792186299,0.1695975381095441,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_012_2/selected_mask.png,manual_anchor_selection,manual_anchor_selection,334.8635746978948,249.06943613766538,-0.9999765442270803,0.006849160216127396,90419,,,True,
case_013_3,13,concrete block,3,major,76.2,major_axis_mm,75.69558090596011,77.56271073218797,76.6440715378384,0.5044190940398892,1.3627107321879635,0.44407153783839703,0.6619673150129779,1.7883342942099256,0.5827710470320171,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_013_3/selected_mask.png,manual_anchor_selection,manual_anchor_selection,556.095703125,379.70654296875,0.2052714121242181,0.9787050870229139,85449,0.9834418402777778,0.5830197482638889,True,
case_013_3,13,concrete block,3,minor,118.7,minor_axis_mm,122.11451176358773,120.24248886529004,121.09683582710953,3.4145117635877256,1.5424888652900393,2.396835827109527,2.876589522820325,1.2994851434625436,2.0192382705219267,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_013_3/selected_mask.png,manual_anchor_selection,manual_anchor_selection,552.6702353204198,380.42499291118475,-0.9787050870229139,0.2052714121242178,85449,0.9834418402777778,0.5830197482638889,True,
case_014_4,14,concrete block,4,major,76.5,major_axis_mm,76.1715162790941,77.96303907879299,76.94598387822194,0.3284837209058935,1.4630390787929883,0.44598387822193786,0.42939048484430525,1.912469384043122,0.5829854617280233,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_014_4/selected_mask.png,manual_anchor_selection,manual_anchor_selection,559.388876091001,340.9120413187591,0.15398542785479147,0.9880731187560853,205270,0.9739344618055555,0.591123046875,True,
case_014_4,14,concrete block,4,minor,285.0,minor_axis_mm,286.0865560836458,286.77676992173707,286.12427450718155,1.086556083645803,1.7767699217370705,1.1242745071815534,0.3812477486476502,0.6234280427147616,0.3944822832215977,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_014_4/selected_mask.png,manual_anchor_selection,manual_anchor_selection,559.6519345085968,339.35293892669756,-0.9880731187560853,0.15398542785479113,205270,0.9739344618055555,0.591123046875,True,
case_015_5,15,concrete block,5,major,55.0,major_axis_mm,58.990287186459014,57.9083323344192,57.371249334141496,3.990287186459014,2.9083323344191996,2.3712493341414955,7.255067611743661,5.287876971671272,4.31136242571181,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_015_5/selected_mask.png,manual_anchor_selection,manual_anchor_selection,471.3981898490671,318.9630885700689,0.9851275607171563,-0.17182458821561447,36754,0.9734505208333334,0.9591471354166666,True,
case_015_5,15,concrete block,5,minor,156.5,minor_axis_mm,157.11908975512435,159.4830401795951,159.56053584768063,0.6190897551243495,2.9830401795950934,3.060535847680626,0.395584508066677,1.9060959614026156,1.9556139601793137,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_015_5/selected_mask.png,manual_anchor_selection,manual_anchor_selection,453.3736625382484,221.44236236434296,0.17182458821561447,0.9851275607171565,36754,0.9734505208333334,0.9591471354166666,True,
