case_id,case_index,material,object_id,path_label,manual_mm,selected_anchor_id,selection_source,p0_x,p0_y,direction_x,direction_y,endpoint1_x,endpoint1_y,endpoint2_x,endpoint2_y,mask_path_length_px,mask_path_length_mm,mask_abs_error_mm,mask_signed_error_mm,mask_pct_error,strip_depth_path_length_mm,strip_depth_valid,strip_depth_failure_reason,strip_depth_num_supported_points,strip_depth_valid_depth_fraction,strip_depth_abs_error_mm,strip_depth_signed_error_mm,strip_depth_pct_error,depth_endpoint_mode,depth_lower_quantile,depth_upper_quantile,depth_support_projected_lower,depth_support_projected_upper,depth_support_projected_span_mm,best_method_for_this_path_by_abs_error,notes
case_006_1,6,brick,1,major,88.0,A2,candidate_id,516.1251831054688,291.49383544921875,0.028412304996645904,0.9995962889710914,512.5168203708947,164.54510674989015,519.7335458400428,418.4425641485474,254.00000000000003,87.49485437961063,0.5051456203893707,-0.5051456203893707,0.5740291140788304,87.09714966023361,True,,21366,0.9852901845413212,0.9028503397663883,-0.9028503397663883,1.0259662951890776,percentile,0.0025,0.9975,-43.388562108312044,43.62123529800848,87.00979740632053,mask,Whole-ROI depth was not used in this main selected-anchor comparison.
case_006_1,6,brick,1,minor,180.0,A5,candidate_id,517.1247793944399,291.4654231442221,-0.9995962889710914,0.028412304996645852,775.0206219489814,284.1350484550875,259.22893683989827,298.79579783335674,516.0,177.7680668611875,2.231933138812508,-2.231933138812508,1.2399628548958377,178.44276109609294,True,,43901,0.975055090348171,1.5572389039070629,-1.5572389039070629,0.8651327243928127,percentile,0.0025,0.9975,-91.07962453911006,87.38855785790973,178.46818239701977,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
case_007_2,7,brick,2,major,59.2,A2,candidate_id,480.88912714638195,286.0840215981291,0.9968617213144687,-0.0791625452973489,405.6260671871396,292.06079376807895,556.1521871056243,280.1072494281793,150.99999999999994,68.3399991703643,9.139999170364291,9.139999170364291,15.439187787777518,59.595598950042444,True,,11081,0.8310162813173742,0.39559895004244083,0.39559895004244083,0.6682414696662852,percentile,0.0025,0.9975,-24.215210438623274,35.46679349280169,59.682003931424966,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
case_007_2,7,brick,2,minor,208.0,A7,candidate_id,525.2798986828601,233.4276535280165,0.07916254529734888,0.9968617213144686,507.34958217301056,7.638473650289342,543.2102151927096,459.2168334057436,453.0,204.99421479569736,3.00578520430264,-3.00578520430264,1.4450890405301153,204.4911909682038,True,,37984,0.9885237218452846,3.508809031796204,-3.508809031796204,1.6869274191327905,percentile,0.0025,0.9975,-100.1170827910484,104.24881923441335,204.36590202546174,mask,Whole-ROI depth was not used in this main selected-anchor comparison.
case_008_3,8,brick,3,major,58.5,A3,candidate_id,438.99624187843375,324.1658574078034,0.23656723387684012,-0.9716151212573116,416.64063827707236,415.98348636661933,461.35184547979514,232.3482284489874,189.00000000000003,57.84798131528234,0.6520186847176603,-0.6520186847176603,1.1145618542182227,58.44557865147489,True,,16231,0.9822198594128418,0.0544213485251106,-0.0544213485251106,0.09302794619677027,percentile,0.0025,0.9975,-29.980940440447824,28.690883142509396,58.671823582957224,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
case_008_3,8,brick,3,minor,210.0,A6,candidate_id,509.9211102950037,340.9199193591259,0.9716151212573116,0.23656723387684034,182.001006870661,261.0784779256923,837.8412137193463,420.7613607925595,675.0,206.62331456031959,3.376685439680415,-3.376685439680415,1.6079454474668642,207.41015504619222,True,,57426,0.9764089783959452,2.589844953807784,-2.589844953807784,1.2332595018132306,percentile,0.0025,0.9975,-101.21921757536214,106.29045245649479,207.50967003185693,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
case_009_4,9,brick,4,major,98.9,A1,candidate_id,785.3937104185394,393.7008644764254,0.05003357904363516,-0.9987475361511959,778.4890765105177,531.5280244652904,792.298344326561,255.87370448756036,276.0,95.9815117871483,2.918488212851699,-2.918488212851699,2.950948647979473,96.19394901821842,True,,23276,0.98486328125,2.706050981781587,-2.706050981781587,2.7361486165637885,percentile,0.0025,0.9975,-49.26689135432269,47.01973449013559,96.28662584445829,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
case_009_4,9,brick,4,minor,205.0,A7,candidate_id,599.833424229531,294.45907051767927,0.9987475361511959,0.050033579043635264,304.20415352877706,279.64913112076323,895.462694930285,309.2690099145953,592.0,205.8994919893247,0.8994919893247015,0.8994919893247015,0.438776580158391,205.40876998225144,True,,50298,0.9778812124942299,0.40876998225144234,0.40876998225144234,0.199399991342167,percentile,0.0025,0.9975,-100.96857880087937,104.46619653251919,205.43477533339853,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
case_010_5,10,brick,5,major,65.3,A3,candidate_id,276.45721515908,206.33217785251128,0.2003962087490328,-0.9797149378870438,262.02868812914966,276.87165338037846,290.8857421890104,135.79270232464413,144.00000000000003,63.50528509082145,1.7947149091785448,-1.7947149091785448,2.7484148685735756,64.91234170736787,True,,12422,0.9795491517545898,0.3876582926321248,-0.3876582926321248,0.5936574159756889,percentile,0.0025,0.9975,-32.49091314924235,32.15901588373947,64.64992903298182,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
case_010_5,10,brick,5,minor,215.0,A6,candidate_id,327.2392272949219,216.7194061279297,0.9797149378870438,0.20039620874903277,91.12792726414429,168.4239198194128,563.3505273256994,265.0148924364466,482.0,212.59120124732198,2.408798752678024,-2.408798752678024,1.1203715128734995,213.75634088019729,True,,40160,0.9605995817963959,1.2436591198027145,-1.2436591198027145,0.5784461022338206,percentile,0.0025,0.9975,-106.01387325810337,107.72561400022367,213.73948725832705,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
