trial,dataset,requested_material,candidate_id,score,margin_diagnostic_only,actual_class,label_source,correct,scores_file
case_009_brick,revision36,brick,candidate_001_brick,0.1234,-0.1824,brick,manual,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_009_brick/material_scores.json
case_009_concrete_block,revision36,concrete block,candidate_001_concrete_block,0.3058,0.1824,brick,reused_label,False,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_009_concrete_block/material_scores.json
case_009_timber,revision36,timber,candidate_002_timber,0.9791,0.9783999999999999,timber,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_009_timber/material_scores.json
case_010_brick,revision36,brick,candidate_001_brick,0.1659,-0.1784,brick,manual,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_010_brick/material_scores.json
case_010_concrete_block,revision36,concrete block,candidate_002_concrete_block,0.3443,0.1784,brick,reused_label,False,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_010_concrete_block/material_scores.json
case_010_timber,revision36,timber,candidate_003_timber,0.4266,0.3278,timber,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_010_timber/material_scores.json
case_011_brick,revision36,brick,candidate_002_brick,0.3174,0.21050000000000002,brick,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_011_brick/material_scores.json
case_011_concrete_block,revision36,concrete block,candidate_001_concrete_block,0.1958,-0.11150000000000002,concrete block,manual,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_011_concrete_block/material_scores.json
case_011_timber,revision36,timber,candidate_001_timber,0.8307,0.8114,timber,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_011_timber/material_scores.json
case_012_brick,revision36,brick,candidate_001_brick,0.2815,0.22369999999999998,brick,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_012_brick/material_scores.json
case_012_concrete_block,revision36,concrete block,candidate_002_concrete_block,0.1229,-0.2529,concrete block,manual,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_012_concrete_block/material_scores.json
case_012_timber,revision36,timber,candidate_002_timber,0.7738,0.7372000000000001,timber,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_012_timber/material_scores.json
