lower_threshold,lower_inclusive,upper_inclusive,present_correct,present_wrong_selection,present_rejected,unreviewed_selections,absent_rejected,absent_false_accepts,present_accuracy_percent,absent_rejection_percent,overall_correct,overall_accuracy_percent,overall_lower_percent,overall_upper_percent,target_confirmed
0.3635619878768921,False,0.38097816705703735,56,2,5,0,7,2,88.88888888888889,77.77777777777777,63,87.5,87.5,87.5,True
0.38097816705703735,False,0.38697168231010437,55,2,6,0,7,2,87.3015873015873,77.77777777777777,62,86.11111111111111,86.11111111111111,86.11111111111111,True
0.38697168231010437,False,0.3887917101383209,54,2,7,0,7,2,85.71428571428571,77.77777777777777,61,84.72222222222223,84.72222222222223,84.72222222222223,False
0.3887917101383209,False,0.39436158537864685,53,2,8,0,7,2,84.12698412698413,77.77777777777777,60,83.33333333333333,83.33333333333333,83.33333333333333,False
0.39436158537864685,False,0.4007193446159363,52,2,9,0,7,2,82.53968253968254,77.77777777777777,59,81.94444444444444,81.94444444444444,81.94444444444444,False
0.4007193446159363,False,0.4165295958518982,51,2,10,0,7,2,80.95238095238095,77.77777777777777,58,80.55555555555556,80.55555555555556,80.55555555555556,False
0.4165295958518982,False,0.42898887395858765,51,1,11,0,7,2,80.95238095238095,77.77777777777777,58,80.55555555555556,80.55555555555556,80.55555555555556,False
0.42898887395858765,False,0.4379303753376007,50,1,12,0,7,2,79.36507936507937,77.77777777777777,57,79.16666666666667,79.16666666666667,79.16666666666667,False
0.4379303753376007,False,0.4413820207118988,49,1,13,0,7,2,77.77777777777777,77.77777777777777,56,77.77777777777777,77.77777777777777,77.77777777777777,False
0.4413820207118988,False,0.4728775918483734,48,1,14,0,7,2,76.19047619047619,77.77777777777777,55,76.38888888888889,76.38888888888889,76.38888888888889,False
0.4728775918483734,False,0.47368648648262024,47,1,15,0,7,2,74.60317460317461,77.77777777777777,54,75.0,75.0,75.0,False
0.47368648648262024,False,0.4775560796260834,46,1,16,0,7,2,73.01587301587301,77.77777777777777,53,73.61111111111111,73.61111111111111,73.61111111111111,False
0.4775560796260834,False,0.48222672939300537,45,1,17,0,7,2,71.42857142857143,77.77777777777777,52,72.22222222222223,72.22222222222223,72.22222222222223,False
0.48222672939300537,False,0.4893479347229004,44,1,18,0,7,2,69.84126984126983,77.77777777777777,51,70.83333333333333,70.83333333333333,70.83333333333333,False
0.4893479347229004,False,0.4939245879650116,43,1,19,0,7,2,68.25396825396825,77.77777777777777,50,69.44444444444444,69.44444444444444,69.44444444444444,False
0.4939245879650116,False,0.5271643400192261,42,1,20,0,7,2,66.66666666666667,77.77777777777777,49,68.05555555555556,68.05555555555556,68.05555555555556,False
0.5271643400192261,False,0.5375277400016785,42,1,20,0,8,1,66.66666666666667,88.88888888888889,50,69.44444444444444,69.44444444444444,69.44444444444444,False
0.5375277400016785,False,0.5463142395019531,41,1,21,0,8,1,65.07936507936508,88.88888888888889,49,68.05555555555556,68.05555555555556,68.05555555555556,False
0.5463142395019531,False,0.5784648656845093,41,0,22,0,8,1,65.07936507936508,88.88888888888889,49,68.05555555555556,68.05555555555556,68.05555555555556,False
0.5784648656845093,False,0.5824006199836731,41,0,22,0,9,0,65.07936507936508,100.0,50,69.44444444444444,69.44444444444444,69.44444444444444,False
0.5824006199836731,False,0.5947245955467224,40,0,23,0,9,0,63.492063492063494,100.0,49,68.05555555555556,68.05555555555556,68.05555555555556,False
0.5947245955467224,False,0.5967497229576111,39,0,24,0,9,0,61.904761904761905,100.0,48,66.66666666666667,66.66666666666667,66.66666666666667,False
0.5967497229576111,False,0.6016408801078796,38,0,25,0,9,0,60.317460317460316,100.0,47,65.27777777777777,65.27777777777777,65.27777777777777,False
0.6016408801078796,False,0.6409398317337036,37,0,26,0,9,0,58.73015873015873,100.0,46,63.888888888888886,63.888888888888886,63.888888888888886,False
0.6409398317337036,False,0.642561674118042,36,0,27,0,9,0,57.142857142857146,100.0,45,62.5,62.5,62.5,False
0.642561674118042,False,0.6492123007774353,35,0,28,0,9,0,55.55555555555556,100.0,44,61.111111111111114,61.111111111111114,61.111111111111114,False
0.6492123007774353,False,0.6831173896789551,34,0,29,0,9,0,53.96825396825397,100.0,43,59.72222222222222,59.72222222222222,59.72222222222222,False
